,a,p,q,f,l,T,m,M
459,2783516273,43914.50000000,0.00267000,3314658499,3314658499,1702224045672,True,True
460,2783516274,43914.51000000,0.00936000,3314658500,3314658500,1702224046572,False,True
461,2783516275,43914.50000000,0.00064000,3314658501,3314658501,1702224046992,True,True
462,2783516276,43914.51000000,0.00056000,3314658502,3314658502,1702224047551,False,True
463,2783516277,43914.51000000,0.02156000,3314658503,3314658503,1702224048398,False,True
464,2783516278,43914.51000000,0.00072000,3314658504,3314658504,1702224048421,False,True
465,2783516279,43914.51000000,0.02614000,3314658505,3314658505,1702224048422,False,True
466,2783516280,43914.51000000,0.01648000,3314658506,3314658506,1702224048574,False,True
467,2783516281,43914.51000000,0.00382000,3314658507,3314658507,1702224048597,False,True
468,2783516282,43914.50000000,0.01116000,3314658508,3314658508,1702224048628,True,True
469,2783516283,43914.51000000,0.02340000,3314658509,3314658509,1702224048782,False,True
470,2783516284,43914.51000000,0.02585000,3314658510,3314658510,1702224048805,False,True
471,2783516285,43914.51000000,0.00037000,3314658511,3314658511,1702224048822,False,True
472,2783516286,43914.50000000,0.00282000,3314658512,3314658512,1702224048896,True,True
473,2783516287,43914.50000000,0.00047000,3314658513,3314658513,1702224048964,True,True
474,2783516288,43914.51000000,0.01152000,3314658514,3314658514,1702224048970,False,True
475,2783516289,43914.51000000,0.00068000,3314658515,3314658515,1702224049020,False,True
476,2783516290,43914.51000000,0.00912000,3314658516,3314658516,1702224049064,False,True
477,2783516291,43914.51000000,0.00645000,3314658517,3314658517,1702224049106,False,True
478,2783516292,43914.50000000,0.00094000,3314658518,3314658518,1702224049110,True,True
479,2783516293,43914.51000000,0.00936000,3314658519,3314658519,1702224049268,False,True
480,2783516294,43914.50000000,0.00035000,3314658520,3314658520,1702224049282,True,True
481,2783516295,43914.50000000,0.00228000,3314658521,3314658521,1702224049286,True,True
482,2783516296,43914.51000000,0.03415000,3314658522,3314658522,1702224049525,False,True
483,2783516297,43914.51000000,0.00568000,3314658523,3314658523,1702224049568,False,True
484,2783516298,43914.51000000,0.01377000,3314658524,3314658524,1702224049593,False,True
485,2783516299,43914.51000000,0.00027000,3314658525,3314658525,1702224049605,False,True
486,2783516300,43914.51000000,0.00053000,3314658526,3314658526,1702224049826,False,True
487,2783516301,43914.50000000,0.00252000,3314658527,3314658527,1702224049905,True,True
488,2783516302,43914.51000000,0.00228000,3314658528,3314658528,1702224050173,False,True
489,2783516303,43914.51000000,0.00079000,3314658529,3314658529,1702224050598,False,True
490,2783516304,43914.51000000,0.00936000,3314658530,3314658530,1702224050611,False,True
491,2783516305,43914.51000000,0.00154000,3314658531,3314658531,1702224050635,False,True
492,2783516306,43914.51000000,0.00110000,3314658532,3314658532,1702224050809,False,True
493,2783516307,43914.51000000,0.00025000,3314658533,3314658533,1702224050837,False,True
494,2783516308,43914.50000000,0.00161000,3314658534,3314658534,1702224050892,True,True
495,2783516309,43914.50000000,0.00728000,3314658535,3314658535,1702224051269,True,True
496,2783516310,43914.51000000,0.00042000,3314658536,3314658536,1702224051392,False,True
497,2783516311,43914.51000000,0.00164000,3314658537,3314658537,1702224051408,False,True
498,2783516312,43914.50000000,0.00819000,3314658538,3314658538,1702224051914,True,True
499,2783516313,43914.50000000,0.00249000,3314658539,3314658539,1702224051924,True,True
