,归集成交id,成交价,成交量,归集首个id,归集末个id,成交时间,是否主卖,最优戳和,UTC时间,北京时间
,a,p,q,f,l,T,m,M,datetime_utc,datetime_bj
43,2783515857,43903.73,0.51958,3314657998,3314658003,1.70222E+12,TRUE,TRUE,00:02.7,2023-12-11 00:00:02.734000+08:00
44,2783515858,43903.73,0.00104,3314658004,3314658004,1.70222E+12,TRUE,TRUE,00:02.8,2023-12-11 00:00:02.751000+08:00
45,2783515859,43903.73,0.00064,3314658005,3314658005,1.70222E+12,TRUE,TRUE,00:02.8,2023-12-11 00:00:02.754000+08:00
46,2783515860,43903.73,0.00249,3314658006,3314658006,1.70222E+12,TRUE,TRUE,00:02.9,2023-12-11 00:00:02.887000+08:00
47,2783515861,43903.74,0.02355,3314658007,3314658007,1.70222E+12,FALSE,TRUE,00:03.0,2023-12-11 00:00:03.026000+08:00
48,2783515862,43903.73,0.0006,3314658008,3314658008,1.70222E+12,TRUE,TRUE,00:03.2,2023-12-11 00:00:03.192000+08:00
49,2783515863,43903.73,0.00828,3314658009,3314658009,1.70222E+12,TRUE,TRUE,00:03.3,2023-12-11 00:00:03.260000+08:00
50,2783515864,43903.74,0.00413,3314658010,3314658010,1.70222E+12,FALSE,TRUE,00:03.4,2023-12-11 00:00:03.361000+08:00
51,2783515865,43903.74,0.0047,3314658011,3314658011,1.70222E+12,FALSE,TRUE,00:03.4,2023-12-11 00:00:03.373000+08:00
52,2783515866,43903.74,0.36021,3314658012,3314658012,1.70222E+12,FALSE,TRUE,00:03.4,2023-12-11 00:00:03.405000+08:00
53,2783515867,43903.73,0.00207,3314658013,3314658013,1.70222E+12,TRUE,TRUE,00:03.5,2023-12-11 00:00:03.452000+08:00
54,2783515868,43903.74,0.03518,3314658014,3314658014,1.70222E+12,FALSE,TRUE,00:03.5,2023-12-11 00:00:03.462000+08:00
55,2783515869,43903.73,0.00297,3314658015,3314658015,1.70222E+12,TRUE,TRUE,00:03.5,2023-12-11 00:00:03.478000+08:00
56,2783515870,43903.74,0.6746,3314658016,3314658016,1.70222E+12,FALSE,TRUE,00:03.5,2023-12-11 00:00:03.501000+08:00
57,2783515871,43903.73,0.00251,3314658017,3314658017,1.70222E+12,TRUE,TRUE,00:03.5,2023-12-11 00:00:03.509000+08:00
58,2783515872,43903.74,0.01126,3314658018,3314658018,1.70222E+12,FALSE,TRUE,00:03.5,2023-12-11 00:00:03.534000+08:00
59,2783515873,43903.74,0.04689,3314658019,3314658019,1.70222E+12,FALSE,TRUE,00:03.5,2023-12-11 00:00:03.538000+08:00
60,2783515874,43903.73,0.00015,3314658020,3314658020,1.70222E+12,TRUE,TRUE,00:03.6,2023-12-11 00:00:03.556000+08:00
61,2783515875,43903.74,0.23732,3314658021,3314658021,1.70222E+12,FALSE,TRUE,00:03.6,2023-12-11 00:00:03.577000+08:00
62,2783515876,43903.74,0.01181,3314658022,3314658022,1.70222E+12,FALSE,TRUE,00:03.6,2023-12-11 00:00:03.604000+08:00
63,2783515877,43903.73,0.00069,3314658023,3314658023,1.70222E+12,TRUE,TRUE,00:03.6,2023-12-11 00:00:03.646000+08:00
64,2783515878,43903.74,0.01164,3314658024,3314658024,1.70222E+12,FALSE,TRUE,00:03.7,2023-12-11 00:00:03.711000+08:00
65,2783515879,43903.74,0.00644,3314658025,3314658025,1.70222E+12,FALSE,TRUE,00:03.7,2023-12-11 00:00:03.723000+08:00
66,2783515880,43903.74,0.00061,3314658026,3314658027,1.70222E+12,FALSE,TRUE,00:03.7,2023-12-11 00:00:03.727000+08:00
67,2783515881,43903.73,0.00043,3314658028,3314658029,1.70222E+12,TRUE,TRUE,00:03.8,2023-12-11 00:00:03.810000+08:00
